id	date	pop_order	pop	method	channel1	channel2	gate1	gate2	position1	position2	scale	minpe
b2e5003a-1cba-44d6-b420-34c93a0118c5	2019-01-04T00:57:03+00:00	1	beads	manual	fsc_small	pe						
b2e5003a-1cba-44d6-b420-34c93a0118c5	2019-01-04T00:57:03+00:00	2	synecho	manual	chl_small	pe						
b2e5003a-1cba-44d6-b420-34c93a0118c5	2019-01-04T00:57:03+00:00	3	picoeuk	manual	fsc_small	chl_small						
d92f32f2-5768-466f-bfa6-d235395f0fe0	2019-01-04T01:16:06+00:00	1	beads	manual	fsc_small	pe						
d92f32f2-5768-466f-bfa6-d235395f0fe0	2019-01-04T01:16:06+00:00	2	synecho	auto	fsc_small	pe	2.0		0	1	0.975	
d92f32f2-5768-466f-bfa6-d235395f0fe0	2019-01-04T01:16:06+00:00	3	picoeuk	manual	fsc_small	chl_small						
bcc4b380-5684-42a8-8356-310d7cf929a3	2019-01-04T23:06:39+00:00	1	beads	manual	fsc_small	pe						
bcc4b380-5684-42a8-8356-310d7cf929a3	2019-01-04T23:06:39+00:00	2	synecho	manual	fsc_small	pe						
bcc4b380-5684-42a8-8356-310d7cf929a3	2019-01-04T23:06:39+00:00	3	croco	manual	fsc_small	pe						
bcc4b380-5684-42a8-8356-310d7cf929a3	2019-01-04T23:06:39+00:00	4	picoeuk	manual	fsc_small	chl_small						
f36ee62f-2759-4cff-bb23-5d296a5b6c10	2019-01-05T00:49:22+00:00	1	beads	manual	fsc_small	pe						
f36ee62f-2759-4cff-bb23-5d296a5b6c10	2019-01-05T00:49:22+00:00	2	synecho	manual	fsc_small	pe						
f36ee62f-2759-4cff-bb23-5d296a5b6c10	2019-01-05T00:49:22+00:00	3	prochloro	manual	fsc_small	chl_small						
f36ee62f-2759-4cff-bb23-5d296a5b6c10	2019-01-05T00:49:22+00:00	4	picoeuk	manual	fsc_small	chl_small						
5f8d8b1c-e1e3-44f9-8f7d-dcb2625d16f3	2019-01-05T01:17:26+00:00	1	synecho	manual	fsc_small	pe						
5f8d8b1c-e1e3-44f9-8f7d-dcb2625d16f3	2019-01-05T01:17:26+00:00	2	prochloro	auto	fsc_small	chl_small	1.0	1.0	0	1	0.975	
5f8d8b1c-e1e3-44f9-8f7d-dcb2625d16f3	2019-01-05T01:17:26+00:00	3	picoeuk	manual	fsc_small	chl_small						
efa4f7ce-b039-4512-9d54-9063cc09f6d4	2019-01-07T20:45:17+00:00	1	synecho	manual	fsc_small	pe						
efa4f7ce-b039-4512-9d54-9063cc09f6d4	2019-01-07T20:45:17+00:00	2	prochloro	auto	fsc_small	chl_small	0.6	0.5	0	1	0.975	
efa4f7ce-b039-4512-9d54-9063cc09f6d4	2019-01-07T20:45:17+00:00	3	picoeuk	manual	fsc_small	chl_small						
68943007-9b4f-4b7f-ba7b-b5e7f3ead3a7	2019-01-07T21:15:35+00:00	1	beads	manual	fsc_small	pe						
68943007-9b4f-4b7f-ba7b-b5e7f3ead3a7	2019-01-07T21:15:35+00:00	2	synecho	manual	fsc_small	pe						
68943007-9b4f-4b7f-ba7b-b5e7f3ead3a7	2019-01-07T21:15:35+00:00	3	croco	manual	fsc_small	pe						
68943007-9b4f-4b7f-ba7b-b5e7f3ead3a7	2019-01-07T21:15:35+00:00	4	prochloro	auto	fsc_small	chl_small	1.5	0.5	0	1	0.975	2.5
68943007-9b4f-4b7f-ba7b-b5e7f3ead3a7	2019-01-07T21:15:35+00:00	5	picoeuk	manual	fsc_small	chl_small						
06e598c1-96cc-4561-b3f9-068ac0a8596d	2024-03-01T23:55:44+00:00	1	beads	manual	chl_small	pe						
06e598c1-96cc-4561-b3f9-068ac0a8596d	2024-03-01T23:55:44+00:00	2	synecho	manual	pe	chl_small						
06e598c1-96cc-4561-b3f9-068ac0a8596d	2024-03-01T23:55:44+00:00	3	picoeuk	manual	fsc_small	chl_small						
06e598c1-96cc-4561-b3f9-068ac0a8596d	2024-03-01T23:55:44+00:00	4	croco	manual	chl_small	pe						
7843b0fb-bb46-4348-8d44-d26e39fd67b1	2024-03-01T23:58:55+00:00	1	beads	manual	chl_small	pe						
7843b0fb-bb46-4348-8d44-d26e39fd67b1	2024-03-01T23:58:55+00:00	2	synecho	auto	fsc_small	pe	2.0		0	1	0.975	
7843b0fb-bb46-4348-8d44-d26e39fd67b1	2024-03-01T23:58:55+00:00	3	picoeuk	manual	fsc_small	chl_small						
305323c0-e6a5-46f1-b8b7-8412209e65b9	2024-03-02T00:02:08+00:00	1	beads	manual	chl_small	pe						
305323c0-e6a5-46f1-b8b7-8412209e65b9	2024-03-02T00:02:08+00:00	2	synecho	manual	fsc_small	pe						
305323c0-e6a5-46f1-b8b7-8412209e65b9	2024-03-02T00:02:08+00:00	3	croco	manual	chl_small	pe						
305323c0-e6a5-46f1-b8b7-8412209e65b9	2024-03-02T00:02:08+00:00	4	picoeuk	manual	fsc_small	chl_small						
9d8cda45-5167-493d-810a-71ad0d239713	2024-03-02T00:04:56+00:00	1	beads	manual	chl_small	pe						
9d8cda45-5167-493d-810a-71ad0d239713	2024-03-02T00:04:56+00:00	2	synecho	manual	fsc_small	pe						
9d8cda45-5167-493d-810a-71ad0d239713	2024-03-02T00:04:56+00:00	3	prochloro	manual	fsc_small	chl_small						
9d8cda45-5167-493d-810a-71ad0d239713	2024-03-02T00:04:56+00:00	4	picoeuk	manual	fsc_small	chl_small						
9d8cda45-5167-493d-810a-71ad0d239713	2024-03-02T00:04:56+00:00	5	croco	manual	chl_small	pe						
fced9290-5316-44e9-8252-21e9e32ccaa5	2024-03-02T00:07:20+00:00	1	synecho	manual	fsc_small	pe						
fced9290-5316-44e9-8252-21e9e32ccaa5	2024-03-02T00:07:20+00:00	2	prochloro	auto	fsc_small	chl_small	0.6	0.5	0	1	0.975	
fced9290-5316-44e9-8252-21e9e32ccaa5	2024-03-02T00:07:20+00:00	3	picoeuk	manual	fsc_small	chl_small						
fced9290-5316-44e9-8252-21e9e32ccaa5	2024-03-02T00:07:20+00:00	4	beads	manual	chl_small	pe						
fced9290-5316-44e9-8252-21e9e32ccaa5	2024-03-02T00:07:20+00:00	5	croco	manual	chl_small	pe						
91260963-8cfc-45c3-bafa-6aa7e36ec67d	2024-03-02T00:10:29+00:00	1	beads	manual	chl_small	pe						
91260963-8cfc-45c3-bafa-6aa7e36ec67d	2024-03-02T00:10:29+00:00	2	synecho	manual	fsc_small	pe						
91260963-8cfc-45c3-bafa-6aa7e36ec67d	2024-03-02T00:10:29+00:00	3	croco	manual	chl_small	pe						
91260963-8cfc-45c3-bafa-6aa7e36ec67d	2024-03-02T00:10:29+00:00	4	prochloro	auto	fsc_small	chl_small	1.5	0.5	0	1	0.975	2.5
91260963-8cfc-45c3-bafa-6aa7e36ec67d	2024-03-02T00:10:29+00:00	5	picoeuk	manual	fsc_small	chl_small						
